FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,COUNTRY,LAT_DD,LON_DD,LOC_ACCY,ON_OFF_LOC,DISC_YR,FIELD_TYPE,SIZE_CLASS,EUR_MMBOE,RSVS_MMBOE,PRV_USGS_C,PRV_USGS_N,BSN_TELL_C,BSN_TELL_N,BSN_BALLY,RSVR_LITH1,RSVR_LITH2,ERA,SYSTEM,SERIES,STAGE,RSVR_DEPFT,RSVR_DEPKM,TRAP_CLASS,TRAP_TYPE
300,Point Arguello,,A,NORTH AMERICA,United States,34.5,-120.666667,B,Onshore,1981,Oil,Giant,500,230.145,5092,Central California OCS,BS000000720,SANTA MARIA,TYPE 3,MIXED,"fractured cherts, porcelanites, siliceous mudstones, and dolostones",Cenozoic,Neogene,Miocene,,,,Structural,Fractures
301,South Sand Belt,Ward Estes,A,NORTH AMERICA,United States,31.38115,-102.898214,A,Onshore,1926,Oil,Giant,900,123.224,5044,Permian Basin,BS000000609,MIDLAND - PERMIAN,TYPE 2,MIXED,"dolomite, sandstone",Paleozoic,Permian,Cisuralian,,3000,0.91,Structural,Anticline
318,Bateman Lake,,A,NORTH AMERICA,United States,29.666667,-91.166667,B,Onshore,1937,Gas,Giant,575,96.379,5047,Western Gulf,BS000000260,EAST GULF COAST TERTIARY,TYPE 1,SANDSTONE,,Cenozoic,Neogene,Miocene,,9750,2.97,Structural,Anticline
302,Carioca-Sugar Loaf,Blocks BM-S-8&9,B,CENTRAL AND SOUTH AMERICA,Brazil,-25.555147,-43.510735,B,Offshore,2007,Oil,Giant,3000,3000,6036,Santos Basin,BS000000061,SANTOS,TYPE 1,MIXED,"lacustrine carbonates and associated coastal plain, fluvial and shallow marine clastic and carbonate facies",Mesozoic,Cretaceous,Lower Cretaceous,,21876,6.67,Structural,Fault Block
303,Guara,Deepwater block BM-S-9,B,CENTRAL AND SOUTH AMERICA,Brazil,-18.8,-39.9,C,Offshore,2008,Oil,Giant,1500,1500,6034,Espirito Santo Basin,BS000000045,ESPIRITO SANTO,TYPE 1,MIXED,"lacustrine carbonates and associated coastal plain, fluvial and shallow marine clastic and carbonate facies",Mesozoic,Cretaceous,Lower Cretaceous,,16404,5,Structural,Fault Block
304,Jupiter,Block BMS-S-24,B,CENTRAL AND SOUTH AMERICA,Brazil,-25.507197,-42.447365,B,Offshore,2008,Oil,Giant,3000,3000,6036,Santos Basin,BS000000061,SANTOS,TYPE 1,MIXED,"lacustrine carbonates and associated coastal plain, fluvial and shallow marine clastic and carbonate facies",Mesozoic,Cretaceous,Lower Cretaceous,,,,Structural,Fault Block
305,Tupi,Block BM-S-11,B,CENTRAL AND SOUTH AMERICA,Brazil,-25.277039,-42.795377,B,Offshore,2007,Oil,Supergiant,6500,6500,6036,Santos Basin,BS000000061,SANTOS,TYPE 1,MIXED,"lacustrine carbonates and associated coastal plain, fluvial and shallow marine clastic and carbonate facies",Mesozoic,Cretaceous,Lower Cretaceous,,,,Structural,Fault Block
306,Mad Dog,,A,NORTH AMERICA,United States,27.283333,-90.2,B,Offshore,1998,Oil,Giant,500,398.717,5097,Gulf Cenozoic OCS,BS000000260,EAST GULF COAST TERTIARY,TYPE 1,SANDSTONE,submarine fan sandstone,Cenozoic,Neogene,Miocene,,22410,6.83,Structural,Anticline
307,Yacheng,,G,ASIA AND OCEANIA,China,17.666667,109.333333,B,Offshore,1983,Gas,Giant,600.333,292.931,3136,Qiongdongnan Basin,BS000000694,QIONGDONGNAN,TYPE 3,SANDSTONE,,Cenozoic,Paleogene,Oligocene,,11647,3.55,Stratigraphic,Sub-unconformity
327,Volcanera,,B,CENTRAL AND SOUTH AMERICA,Colombia,5.337611,-72.396536,B,Onshore,1993,Gas,Giant,1083.333,725.205,6096,Llanos Basin,BS000000132,LLANOS,TYPE 2,SANDSTONE,,Cenozoic,Paleogene,Eocene,,18520,5.65,Structural,Anticline
308,Lama,,B,CENTRAL AND SOUTH AMERICA,Venezuela,10.01313,-71.75,B,Onshore,1957,Oil,Giant,709.57,178.816,6099,Maracaibo Basin,BS000000136,MARACAIBO,TYPE 2,SANDSTONE,,Cenozoic,Paleogene,Paleocene,,9000,2.74,Structural,Anticline
309,Chuchupa,Abilena; Riohacha,B,CENTRAL AND SOUTH AMERICA,Colombia,11.869872,-72.612944,B,Offshore,1973,Gas,Giant,583.333,215.639,6095,Guajira Basin,BS000000324,GUAJIRA,TYPE 2,SANDSTONE,,Cenozoic,Neogene,Pliocene,Piacenzian,6000,1.83,Structural,Anticline
310,Dongfang,,G,ASIA AND OCEANIA,China,18.61768,107.95,B,Offshore,1992,Gas,Giant,590,381.915,3159,Yinggehai Basin,BS000000109,BAC BO - YINGGEHAI,TYPE 3,SANDSTONE,,Cenozoic,Neogene,Pliocene,Piacenzian,4213,1.28,Structural,Anticline
311,Feni,,G,ASIA AND OCEANIA,Bangladesh,23.002664,91.379003,A,Onshore,1980,Gas,Giant,548.333,245.272,8047,Ganges-Brahmaputra Delta,BS000000166,TRIPURA - CACHAR FOLDBELT - BENGAL,TYPE 3,SANDSTONE,,Cenozoic,Neogene,Pliocene,Piacenzian,9160,2.79,Structural,Anticline
312,KK 4-2,Poinsettia,B,CENTRAL AND SOUTH AMERICA,Trinidad and Tobago,11.166667,-61.233333,B,Offshore,1975,Gas,Giant,500,194.858,6103,Tobago Trough,BS000000335,TOBAGO,TYPE 3,SANDSTONE,argillaceous sandstone,Cenozoic,Neogene,Pliocene,Zanclean,7703,2.35,Structural,Anticline
313,Patao,,B,CENTRAL AND SOUTH AMERICA,Venezuela,11.066667,-62.566667,B,Offshore,1979,Gas,Giant,1666.667,724.737,6103,Tobago Trough,BS000000335,TOBAGO,TYPE 3,SANDSTONE,sand,Cenozoic,Neogene,Pliocene,Zanclean,6900,2.1,Structural,Anticline
314,Red Mango,Columbus Basin,B,CENTRAL AND SOUTH AMERICA,Trinidad and Tobago,9.986919,-60.544425,B,Offshore,2000,Gas,Giant,590,506.328,6098,East Venezuela Basin,BS000000320,COLUMBUS,TYPE 2,SANDSTONE,sand,Cenozoic,Neogene,Pliocene,Zanclean,12500,3.81,Structural,Anticline
315,Nilam,Kalimantan,G,ASIA AND OCEANIA,Indonesia,-0.45,117.4,A,Onshore,1974,Gas,Giant,610.392,231.643,3817,Kutei Basin,BS000000229,KUTEI,TYPE 1,SANDSTONE,quartzose sandstone,Cenozoic,Neogene,Miocene,Tortonian,7500,2.29,Structural,Anticline
316,Badak,,G,ASIA AND OCEANIA,Indonesia,-0.33333,117.43333,A,Onshore,1972,Gas,Giant,548.113,197.43,3817,Kutei Basin,BS000000229,KUTEI,TYPE 1,SANDSTONE,,Cenozoic,Neogene,Miocene,Tortonian,5500,1.68,Structural,Anticline
317,El Temsah,,F,AFRICA,Egypt,32,32.5,B,Offshore,1977,Gas,Giant,750.5,308.743,2032,Levantine Basin,BS000000009,NILE DELTA,TYPE 1,SANDSTONE,sand,Cenozoic,Neogene,Miocene,,12500,3.81,Structural,Anticline
319,Kettleman Hills North Dome,,A,NORTH AMERICA,United States,36.083333,-120.25,B,Onshore,1928,Gas,Giant,951.955,135.101,5010,San Joaquin Basin,BS000000714,SAN JOAQUIN,TYPE 3,SANDSTONE,,Cenozoic,Neogene,Miocene,,7200,2.2,Structural,Anticline
320,Bongkot,,G,ASIA AND OCEANIA,Thailand,7.416667,102.333333,B,Offshore,1973,Gas,Giant,769.173,284.338,3703,Malay Basin,BS000000117,MALAY,TYPE 3,SANDSTONE,,Cenozoic,Neogene,Miocene,,3000,0.91,Structural,Anticline
321,Ampa Southwest,,G,ASIA AND OCEANIA,Brunei,4.69752,114.14426,B,Offshore,1963,Gas,Giant,1291.587,373.018,3701,Baram Delta/Brunei-Sabah Basin,BS000000110,BARAM DELTA,TYPE 1,SANDSTONE,sand,Cenozoic,Neogene,Miocene,,7700,2.35,Structural,Anticline
322,Barqan,,E,MIDDLE EAST,Saudi Arabia,27.833333,35.25,B,Offshore,1969,Gas,Giant,833.333,278.18,2071,Red Sea Basin,BS000000291,RED SEA,TYPE 1,SANDSTONE,,Cenozoic,Neogene,Miocene,,6400,1.95,Structural,Anticline
323,Santa Barbara,,B,CENTRAL AND SOUTH AMERICA,Venezuela,9.4,-63.7,B,Onshore,1941,Gas,Giant,2378.303,430.499,6098,East Venezuela Basin,BS000000330,MATURIN,TYPE 2,SANDSTONE,,Cenozoic,Paleogene,Oligocene,,15594,4.75,Structural,Anticline
324,Old Ocean,,A,NORTH AMERICA,United States,28.916667,-95.75,B,Onshore,1934,Gas,Giant,962.333,152.453,5047,Western Gulf,BS000000271,WEST GULF COAST TERTIARY,TYPE 1,SANDSTONE,,Cenozoic,Paleogene,Oligocene,,10300,3.14,Structural,Anticline
325,Severo Stavropol,Pelagiada,D,EASTERN EUROPE AND FORMER USSR,Russia,45.216667,41.95,B,Onshore,1950,Gas,Giant,1333.333,289.227,1109,Middle Caspian Basin,BS000000212,INDOLO-KUBAN,TYPE 1,SANDSTONE,,Cenozoic,Paleogene,Oligocene,,3000,0.91,Structural,Anticline
326,Chunxiao,,G,ASIA AND OCEANIA,China,28.3575,124.92444,B,Offshore,1995,Gas,Giant,585,419.401,3109,East China Sea Basin,BS000000489,EAST CHINA SEA,TYPE 1,SANDSTONE,,Cenozoic,Paleogene,Eocene,,9432,2.88,Structural,Anticline
981,Etna,,B,CENTRAL AND SOUTH AMERICA,Brazil,-24.56,-40.31,D,Offshore,2010,Oil,Giant,500,500,6036,Santos Basin,BS000000061,SANTOS,TYPE 1,UNKNOWN,,Unknown,,,,,,Unknown,
328,Katy,,A,NORTH AMERICA,United States,29.5,-95.833333,B,Onshore,1934,Gas,Giant,1020,161.589,5047,Western Gulf,BS000000271,WEST GULF COAST TERTIARY,TYPE 1,SANDSTONE,,Cenozoic,Paleogene,Paleocene,,6775,2.07,Structural,Anticline
329,Parsons Lake,,A,NORTH AMERICA,Canada,68.666667,-133.5,B,Onshore,1978,Gas,Giant,583.333,583.333,5239,Mackenzie Delta,BS000000344,BEAUFORT - MACKENZIE,TYPE 1,SANDSTONE,,Cenozoic,Paleogene,Paleocene,,,,Structural,Anticline
330,Marlin,,G,ASIA AND OCEANIA,Australia,-38.233333,148.233333,B,Offshore,1966,Gas,Giant,866,268.58,3930,Gippsland Basin,BS000000519,GIPPSLAND,TYPE 1,SANDSTONE,,Cenozoic,Paleogene,Paleocene,,7050,2.15,Structural,Anticline
331,Zapolyarnoye,,D,EASTERN EUROPE AND FORMER USSR,Russia,66.822278,79.652622,A,Onshore,1965,Gas,Supergiant,21192.667,6416.776,1174,West Siberian Basin,BS000000306,CENTRAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,Upper Cretaceous,,3671,1.12,Structural,Anticline
332,Gazli,Gazlinskoye,D,EASTERN EUROPE AND FORMER USSR,Uzbekistan,40.129725,63.444819,A,Onshore,1956,Gas,Giant,2800.817,690.479,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,SANDSTONE,,Mesozoic,Cretaceous,,,1772,0.54,Structural,Anticline
333,Achak,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,41.072633,60.915261,A,Onshore,1966,Gas,Giant,931.667,288.945,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,SANDSTONE,,Mesozoic,Cretaceous,,,5560,1.7,Structural,Anticline
334,Naipskoye,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,40.792744,61.308761,A,Onshore,1970,Gas,Giant,1333.333,456.387,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,SANDSTONE,,Mesozoic,Cretaceous,,,6500,1.98,Structural,Anticline
335,Odzhak,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,41.116667,60.95,B,Onshore,1966,Gas,Giant,500,155.069,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,SANDSTONE,,Mesozoic,Cretaceous,,,,,Structural,Anticline
336,Bol'shoy Kruzenshtern,,D,EASTERN EUROPE AND FORMER USSR,Russia,70.833333,66.916667,B,Onshore,1976,Gas,Giant,2066.667,827.364,1174,West Siberian Basin,BS000000311,SOUTH KARA/YAMAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,3721,1.13,Structural,Anticline
337,Kharvutin,,D,EASTERN EUROPE AND FORMER USSR,Russia,67.466667,72.716667,B,Offshore,1976,Gas,Giant,666.667,266.892,1174,West Siberian Basin,BS000000311,SOUTH KARA/YAMAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,4000,1.22,Structural,Anticline
338,Komsomol',,D,EASTERN EUROPE AND FORMER USSR,Russia,64.560847,76.671117,A,Onshore,1966,Gas,Giant,2666.667,827.035,1174,West Siberian Basin,BS000000306,CENTRAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,2875,0.88,Structural,Anticline
339,Leningrad,Kara,D,EASTERN EUROPE AND FORMER USSR,Russia,72.333611,65.609167,B,Offshore,1990,Gas,Supergiant,9173.967,5560.243,1174,West Siberian Basin,BS000000311,SOUTH KARA/YAMAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,3606,1.1,Structural,Anticline
340,Maykop,,D,EASTERN EUROPE AND FORMER USSR,Russia,44.6109,40.103014,A,Onshore,1909,Gas,Giant,536.667,54.846,1108,Azov-Kuban Basin,BS000000212,INDOLO-KUBAN,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,8500,2.59,Structural,Anticline
341,Medvezh'ye,,D,EASTERN EUROPE AND FORMER USSR,Russia,67.333333,73.833333,B,Offshore,1966,Gas,Giant,4939.833,1532.031,1174,West Siberian Basin,BS000000311,SOUTH KARA/YAMAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,3369,1.03,Structural,Anticline
342,Messoyakha,,D,EASTERN EUROPE AND FORMER USSR,Russia,69.333333,82.5,B,Onshore,1967,Gas,Giant,2333.333,741.425,1175,Yenisey-Khatanga Basin,BS000000311,SOUTH KARA/YAMAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,3000,0.91,Structural,Anticline
343,Neytin,,D,EASTERN EUROPE AND FORMER USSR,Russia,69.833333,69.75,B,Onshore,1975,Gas,Giant,666.667,259.811,1174,West Siberian Basin,BS000000311,SOUTH KARA/YAMAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,2000,0.61,Structural,Anticline
344,Nyda,,D,EASTERN EUROPE AND FORMER USSR,Russia,66.5,73,B,Onshore,1967,Gas,Giant,583.333,185.356,1174,West Siberian Basin,BS000000306,CENTRAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,3750,1.14,Structural,Anticline
345,Severo Urengoy,,D,EASTERN EUROPE AND FORMER USSR,Russia,67.123533,76.011853,A,Onshore,1971,Gas,Supergiant,5833.333,2047.963,1174,West Siberian Basin,BS000000306,CENTRAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,3622,1.1,Structural,Anticline
346,Sredneyamal'skoye,,D,EASTERN EUROPE AND FORMER USSR,Russia,69.133333,71.166667,B,Onshore,1970,Gas,Giant,1250,427.863,1174,West Siberian Basin,BS000000311,SOUTH KARA/YAMAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,500,0.15,Structural,Anticline
347,Tarko-Sale Vostochnoye,,D,EASTERN EUROPE AND FORMER USSR,Russia,65.170975,78.250786,A,Onshore,1971,Gas,Giant,2496.227,876.374,1174,West Siberian Basin,BS000000306,CENTRAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,3924,1.2,Structural,Anticline
348,Taz,Tazovskoye,D,EASTERN EUROPE AND FORMER USSR,Russia,67.467847,78.680474,A,Onshore,1962,Gas,Giant,509.332,143.714,1174,West Siberian Basin,BS000000306,CENTRAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,3511,1.07,Structural,Anticline
349,Tul'skiy,,D,EASTERN EUROPE AND FORMER USSR,Russia,44.50578,40.1664,B,Onshore,1969,Gas,Giant,601.667,200.846,1108,Azov-Kuban Basin,BS000000212,INDOLO-KUBAN,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,8250,2.52,Structural,Anticline
350,Urengoy,Vostochno Urengoy,D,EASTERN EUROPE AND FORMER USSR,Russia,67.021517,76.325203,A,Onshore,1966,Gas,Megagiant,58606.667,18176.164,1174,West Siberian Basin,BS000000306,CENTRAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,7500,2.29,Structural,Anticline
351,Verkhnepurpey,,D,EASTERN EUROPE AND FORMER USSR,Russia,65.166667,76.833333,A,Onshore,1976,Gas,Giant,583.333,233.53,1174,West Siberian Basin,BS000000306,CENTRAL SUB-BASIN - WEST SIBERIA,TYPE 1,SANDSTONE,,Mesozoic,Cretaceous,,,3600,1.1,Structural,Anticline
